Data operação,Categoria,Código Ativo,Operação C/V,Quantidade,Preço unitário,Corretora,Corretagem,Taxas,Impostos,IRRF
08/09/2026,Fundos imobiliários,SNEL11,C,"75,00000000","8,19",INTER DTVM LTDA,"0,00","0,00","0,00","0,00"
04/09/2026,Ações,PMAM3,V,"1.000,00000000","0,31",INTER DTVM LTDA,"0,00","0,00","0,00","0,00"
27/08/2026,Fundos de Investimento,cdb-plus-ii-fi-rf-cp,C,"1.328,87973037","1,97",BTG PACTUAL CTVM S.A.,"0,00","0,00","0,00","0,00"
17/08/2026,Fundos de Investimento,btg-pactual-credito-corporativo-ii-previdencia-fundo-de-investimento-multimercado-credito-privado,C,"569,14441601","1,76",BTG PACTUAL CTVM S.A.,"0,00","0,00","0,00","0,00"
17/08/2026,Fundos de Investimento,itau-high-yield-prev-rf-cred-priv-p-dist-bp-fundo-de-investimento-em-cotas-de-fundo-de-investimento,C,"595,43303931","1,68",BTG PACTUAL CTVM S.A.,"0,00","0,00","0,00","0,00"
14/08/2026,Fundos imobiliários,SNEL11,C,"12,00000000","8,34",INTER DTVM LTDA,"0,00","0,00","0,00","0,00"
14/08/2026,Fundos imobiliários,TRXF11,C,"40,00000000","79,35",BANCO BTG PACTUAL,"0,00","0,00","0,00","0,00"
14/08/2026,Fundos imobiliários,RBRX11,C,"250,00000000","7,30",BANCO BTG PACTUAL,"0,00","0,00","0,00","0,00"
04/08/2026,Ações,PMAM3,C,"2.000,00000000","0,23",INTER DTVM LTDA,"0,00","0,00","0,00","0,00"
30/07/2026,Fundos de Investimento,cdb-plus-ii-fi-rf-cp,C,"1.330,58667106","1,95",BTG PACTUAL CTVM S.A.,"0,00","0,00","0,00","0,00"
27/07/2026,Tesouro direto,tesouro-ipca-2032,C,"1,00000000","2.933,67",INTER DTVM LTDA,"0,00","0,00","0,00","0,00"
23/07/2026,Fundos imobiliários,HGLG11,C,"17,00000000","147,23",BANCO BTG PACTUAL,"0,00","0,00","0,00","0,00"
15/07/2026,Fundos de Investimento,btg-pactual-credito-corporativo-ii-previdencia-fundo-de-investimento-multimercado-credito-privado,C,"575,72945137","1,74",BTG PACTUAL CTVM S.A.,"0,00","0,00","0,00","0,00"
15/07/2026,Fundos de Investimento,itau-high-yield-prev-rf-cred-priv-p-dist-bp-fundo-de-investimento-em-cotas-de-fundo-de-investimento,C,"60,22085771","16,61",BTG PACTUAL CTVM S.A.,"0,00","0,00","0,00","0,00"
15/07/2026,Fundos imobiliários,HGLG11,C,"30,00000000","149,16",BANCO BTG PACTUAL,"0,00","0,00","0,00","0,00"
06/07/2026,Tesouro direto,tesouro-renda-aposentadoria-extra-2065,C,"11,00000000","179,83",INTER DTVM LTDA,"0,00","0,00","0,00","0,00"
30/06/2026,ETF Exterior,NOBL,C,"0,08510000","56,31",CHARLES SCHWAB,"0,00","0,00","0,00","0,00"
30/06/2026,REITS,PLD,C,"0,23470000","136,80",CHARLES SCHWAB,"0,00","0,00","0,00","0,00"
30/06/2026,ETF Exterior,VBR,C,"0,00320000","243,31",CHARLES SCHWAB,"0,00","0,00","0,00","0,00"
30/06/2026,ETF Exterior,SCHD,C,"0,37830000","31,93",CHARLES SCHWAB,"0,00","0,00","0,00","0,00"
